planid,planname,planname (groups)
1436,CLIF GOLD,GOLD CUSTOMISED
1437,POL CareMax,Other
1438,APN SILVER,SILVER CUSTOMIZED
1439,IPTL SILVER,SILVER CUSTOMIZED
1440,CDK BRONZE,BRONZE CUSTOMIZED
1441,CDK SILVER,SILVER CUSTOMIZED
1442,CDK GOLD,GOLD CUSTOMISED
1443,CDK GOLD PLUS,GOLD PLUS CUSTOMISED
1444,CDK PLATINUM,PLATINUM CUSTOMIZED
1445,EMERALD SILVER,SILVER CUSTOMIZED
1446,AIS GOLD,GOLD CUSTOMISED
1447,ARIBL SUPERB,SUPERB CUSTOMIZED
1448,EVSP GOLD,GOLD CUSTOMISED
1449,NHIA,Other
1450,ROYAL BRONZE,BRONZE CUSTOMIZED
1451,SILVER23,SILVER
1452,GOLD23,GOLD 
1453,GOLD PLUS23,GOLD PLUS
1454,BRONZE23,BRONZE
1455,MOV SUPERB,SUPERB CUSTOMIZED
1456,PLATINUM23,PLATINUM
1457,MSHIP,Other
1458,MCC BRONZE,BRONZE CUSTOMIZED
1459,POL CP,Other
1460,POL CM,Other
1461,ST.B Platinum,PLATINUM CUSTOMIZED
1462,ST.B Senior Citizen,RETAIL
1463,BRONZE24,BRONZE
1464,SILVER24,SILVER
1465,WASTA BRONZE,BRONZE CUSTOMIZED
1466,CLENSOU BRONZE,BRONZE CUSTOMIZED
1467,GOLD24,GOLD 
1468,CRESEA GOLDPLUS,GOLD PLUS CUSTOMISED
1469,Simple Bronze,BRONZE CUSTOMIZED
1470,Simple Silver,SILVER CUSTOMIZED
1471,Simple Gold,GOLD CUSTOMISED
1472,Simple Goldplus,GOLD PLUS CUSTOMISED
1473,VONO BRONZE,BRONZE CUSTOMIZED
1474,CWAY fam2,Other
1475,CWAY fam4,Other
1476,CWAY Fam6,Other
1477,CWAY Fam5,Other
1478,Vaganplan,Other
1479,CIGL SILVER,SILVER CUSTOMIZED
1480,CIGL DIAMOND,DIAMOND
1481,COS SUP,SUPERB CUSTOMIZED
1482,COSFAM2,Other
1483,COSFAM3,Other
1484,COSFAM4,Other
1485,COSFAM5,Other
1486,COSFAM6,Other
1487,ASABAIR BRZ,BRONZE CUSTOMIZED
1488,ASABAIR SIL,SILVER CUSTOMIZED
1489,ASABAIR GOL,GOLD CUSTOMISED
1490,ASABAIR PLAT,PLATINUM CUSTOMIZED
1491,IBUSHE PLAN,Other
1492,IBUSHE FAM 1,Other
1493,IBUSHE FAM 3,Other
1494,IBUSHE FAM 5,Other
1495,BANCOR SUPERB,SUPERB CUSTOMIZED
1496,BANCOR BRZ,BRONZE CUSTOMIZED
1497,BANCOR SIL,SILVER CUSTOMIZED
1498,POWGOLDSINGLE,GOLD CUSTOMISED
1499,POWGOLFAM3,GOLD CUSTOMISED
1500,POWGOLFAM4,GOLD CUSTOMISED
1501,ADRON  SUP,SUPERB CUSTOMIZED
1502,ADN SUPLITE,SUPERBLITE CUSTOMIZED
1503,Emp plan,Other
1504,Emp Fam 1,Other
1505,Emp Fam 2,Other
1506,Emp Fam 3,Other
1507,Emp Fam 4,Other
1508,Emp Fam 6,Other
1509,City Plan,Other
1510,City Fam 1,Other
1511,City Fam 2,Other
1512,City Fam 3,Other
1513,City Fam 4,Other
1514,City Fam 5,Other
1515,Shine silver,SILVER CUSTOMIZED
1516,EMPIRE SILVER,SILVER CUSTOMIZED
1517,EMPSILFAM5,SILVER CUSTOMIZED
1518,EMPSILFAM6,SILVER CUSTOMIZED
1519,HASHEM BRONZE,BRONZE CUSTOMIZED
1520,HASHEM SILVER,SILVER CUSTOMIZED
1521,HASHEM GOLD,GOLD CUSTOMISED
1522,CLEARVALUE,RETAIL
1523,CLEAR ADVANTAGE,RETAIL
1524,WORKMAN PLAN,Other
1525,CLEAR ELITE,RETAIL
1526,AREB BRONZE N,BRONZE CUSTOMIZED
1527,IBUSHE GLP,GOLD PLUS CUSTOMISED
1528,SOLMAX 2,Other
1529,LORNAFAM4,Other
1530,LORFAM4,Other
1531,CLINTON BRONZE,BRONZE CUSTOMIZED
1532,CLINTON SILVER,SILVER CUSTOMIZED
1533,PELCAN BRONZE,BRONZE CUSTOMIZED
1534,Polcarmax1,Other
1535,Polcarmax2,Other
1536,Polcarmax3,Other
1537,Polcarmax4,Other
1538,Polcarplus1,Other
1539,Polcarplus2,Other
1540,Polcarplus3,Other
1541,Polcarplus4,Other
1542,Polcarplus5,Other
1543,Polcarplus6,Other
1544,Polcarmax5,Other
1545,CWAYSIL,SILVER CUSTOMIZED
1546,CWAYSILF2,SILVER CUSTOMIZED
1547,CWAYSILF4,SILVER CUSTOMIZED
1548,CWAYSILF6,SILVER CUSTOMIZED
1549,cwayfam3,Other
1550,AIRPEACEBRZF2,BRONZE CUSTOMIZED
1551,AIRPEACEBRZF3,BRONZE CUSTOMIZED
1552,AIRPEACEBRZF4,BRONZE CUSTOMIZED
1553,AIRPEACEBRZ,BRONZE CUSTOMIZED
1554,SWESUBF1,Other
1555,SWESUBF2,Other
1556,SWESUBF3,Other
1557,SWESUBF4,Other
1558,PRAGGOLF6,GOLD CUSTOMISED
1559,PRAGGOLF4,GOLD CUSTOMISED
1560,PRAGGOLF2,GOLD CUSTOMISED
1561,PRAGBRZF2,BRONZE CUSTOMIZED
1562,PRAGBRZF3,BRONZE CUSTOMIZED
1563,PRAGBRZF4,BRONZE CUSTOMIZED
1564,PRAGBRZF5,BRONZE CUSTOMIZED
1565,PRAGBRZF6,BRONZE CUSTOMIZED
1566,PRAGBRZ,BRONZE CUSTOMIZED
