planid,planname,planname (groups)
1209,CISL SILVER,SILVER CUSTOMIZED
1210,HERA BRONZE,BRONZE CUSTOMIZED
1211,NAP SILVER,SILVER CUSTOMIZED
1212,MOZF BRONZE,BRONZE CUSTOMIZED
1213,DBNL SILVER,SILVER CUSTOMIZED
1214,AE BRONZE,BRONZE CUSTOMIZED
1215,DTSPDC SILVER,SILVER CUSTOMIZED
1216,PHERO SILVER,SILVER CUSTOMIZED
1217,GODP SILVER,SILVER CUSTOMIZED
1218,CHRIS BRONZE,BRONZE CUSTOMIZED
1219,CISL BRONZE,BRONZE CUSTOMIZED
1220,WISPDC BRONZE,BRONZE CUSTOMIZED
1221,GREB BRONZE,BRONZE CUSTOMIZED
1222,JPB BRONZE,BRONZE CUSTOMIZED
1223,KOJO BRONZE,BRONZE CUSTOMIZED
1224,DAR BRONZE,BRONZE CUSTOMIZED
1225,ELB BRONZE,BRONZE CUSTOMIZED
1226,BELL BRONZE,BRONZE CUSTOMIZED
1227,CRESEA SILVER,SILVER CUSTOMIZED
1228,DES SILVER,SILVER CUSTOMIZED
1229,JOZA BRONZE,BRONZE CUSTOMIZED
1230,IGCL PLATINUM,PLATINUM CUSTOMIZED
1231,FUST SILVER,SILVER CUSTOMIZED
1232,COBL SILVER,SILVER CUSTOMIZED
1233,GODP BRONZE,BRONZE CUSTOMIZED
1234,JUES GOLD,GOLD CUSTOMISED
1235,QUAS BRONZE,BRONZE CUSTOMIZED
1236,GINS PLATINUM,PLATINUM CUSTOMIZED
1237,EXCL BRONZE,BRONZE CUSTOMIZED
1238,NIPO GOLD,GOLD CUSTOMISED
1239,TRBN BRONZE,BRONZE CUSTOMIZED
1240,EYNP GOLD,GOLD CUSTOMISED
1241,PAYN BRONZE,BRONZE CUSTOMIZED
1242,KASH SILVER,SILVER CUSTOMIZED
1243,CLIF GOLD PLUS,GOLD PLUS CUSTOMISED
1244,LIRL GOLD PLUS,GOLD PLUS CUSTOMISED
1245,OCHE GOLD,GOLD CUSTOMISED
1246,CLIN GOLD PLUS,GOLD PLUS CUSTOMISED
1247,CISL GOLD,GOLD CUSTOMISED
1248,TMSY GOLD PLUS,GOLD PLUS CUSTOMISED
1249,AISL GOLD,GOLD CUSTOMISED
1250,MALI GOLD PLUS,GOLD PLUS CUSTOMISED
1251,EXCL GOLD PLUS,GOLD PLUS CUSTOMISED
1252,CLIN PLATINUM,PLATINUM CUSTOMIZED
1253,MALI PLATINUM,PLATINUM CUSTOMIZED
1254,AKCO BRONZE,BRONZE CUSTOMIZED
1255,IGCL GOLD,GOLD CUSTOMISED
1256,PWHC GOLD,GOLD CUSTOMISED
1257,NIJI BRONZE,BRONZE CUSTOMIZED
1258,VACC GOLD,GOLD CUSTOMISED
1259,BAMB GOLD,GOLD CUSTOMISED
1260,WORK BRONZE,BRONZE CUSTOMIZED
1261,COCA GOLD,GOLD CUSTOMISED
1262,SOWS GOLD,GOLD CUSTOMISED
1263,FOR BRONZE,BRONZE CUSTOMIZED
1264,TESS BRONZE,BRONZE CUSTOMIZED
1265,STAR BRONZE,BRONZE CUSTOMIZED
1266,CORC BRONZE,BRONZE CUSTOMIZED
1267,CORA BRONZE,BRONZE CUSTOMIZED
1268,COR BRONZE,BRONZE CUSTOMIZED
1269,COCA BRONZE,BRONZE CUSTOMIZED
1270,EDI BRONZE,BRONZE CUSTOMIZED
1271,PHERO BRONZE,BRONZE CUSTOMIZED
1272,FUST BRONZE,BRONZE CUSTOMIZED
1273,PHERO GOLD,GOLD CUSTOMISED
1274,FUST GOLD,GOLD CUSTOMISED
1275,FUST GOLD PLUS,GOLD PLUS CUSTOMISED
1276,OAKD SILVER,SILVER CUSTOMIZED
1277,FWCL SILVER,SILVER CUSTOMIZED
1278,CLIF SILVER,SILVER CUSTOMIZED
1279,CORC GOLD,GOLD CUSTOMISED
1280,DISC GOLD,GOLD CUSTOMISED
1281,AE GOLD,GOLD CUSTOMISED
1282,CORA GOLD,GOLD CUSTOMISED
1283,JPB GOLD,GOLD CUSTOMISED
1284,ALM GOLD,GOLD CUSTOMISED
1285,EIE GOLD,GOLD CUSTOMISED
1286,JOZA GOLD,GOLD CUSTOMISED
1287,OAKS GOLD,GOLD CUSTOMISED
1288,PEIN GOLD,GOLD CUSTOMISED
1289,ZHON GOLD,GOLD CUSTOMISED
1290,JZGL BRONZE,BRONZE CUSTOMIZED
1291,NELC BRONZE,BRONZE CUSTOMIZED
1292,COO232 BRONZE,BRONZE CUSTOMIZED
1293,C&K BRONZE,BRONZE CUSTOMIZED
1294,COO232 SILVER,SILVER CUSTOMIZED
1295,OCTA GOLD,GOLD CUSTOMISED
1296,CRESEA GOLD,GOLD CUSTOMISED
1297,MALT BRONZE,BRONZE CUSTOMIZED
1298,ACAD SUPERB,SUPERB CUSTOMIZED
1299,APBF SUPERB,SUPERB CUSTOMIZED
13,Hybrid,Other
1300,ICAN SUPERB,SUPERB CUSTOMIZED
1301,TAHIR SUPERB,SUPERB CUSTOMIZED
1302,ORF SUPB LITE,SUPERBLITE CUSTOMIZED
1303,DIR SUPERB,SUPERB CUSTOMIZED
1304,KIL SUPERB,SUPERB CUSTOMIZED
1305,TRI SUPB LITE,SUPERBLITE CUSTOMIZED
1306,COLT SUPERB,SUPERB CUSTOMIZED
1307,ORI SUPB LITE,SUPERBLITE CUSTOMIZED
1308,THE SUPERB,SUPERB CUSTOMIZED
1309,SUN SUPB LITE,SUPERBLITE CUSTOMIZED
1310,ECM GOLD PLUS,GOLD PLUS CUSTOMISED
1311,LAG SUPB LITE,SUPERBLITE CUSTOMIZED
1312,OAKD GOLD PLUS,GOLD PLUS CUSTOMISED
1313,TGME GOLD PLUS,GOLD PLUS CUSTOMISED
1314,TOT SUPB LITE,SUPERBLITE CUSTOMIZED
1315,ADR SUPB LITE,SUPERBLITE CUSTOMIZED
1316,QUES PLATINUM,PLATINUM CUSTOMIZED
1317,EYNP BRONZE,BRONZE CUSTOMIZED
1318,PEIN BRONZE,BRONZE CUSTOMIZED
1319,CHOP BRONZE,BRONZE CUSTOMIZED
